,AAPL,MSFT,GOOGL
Ticker,AAPL,MSFT,GOOGL
Date,,,
2021-01-31,129.6305698595549,213.3927355314556,89.47318870142887
2021-02-28,128.31393071224815,231.00537350303247,102.2909742656507
2021-03-31,118.92835832678753,225.1568716297979,101.77334694240405
2021-04-30,128.62984284900483,246.26405407133558,112.97215779622395
2021-05-31,123.88962440490722,238.59900665283203,114.73976707458496
2021-06-30,127.03580995039506,250.1532086459073,120.32451005415483
2021-07-31,141.87527974446616,271.86788068498885,127.79374440511067
2021-08-31,145.02308724143288,284.4936884099787,137.54620430686256
2021-09-30,145.18792361304872,287.2625674293155,140.33671279180618
2021-10-31,142.5031992594401,293.7147841680618,139.27754429408483
2021-11-30,151.19183640252976,325.2525852748326,145.88173493884858
2021-12-31,170.1515974564986,322.6217734596946,144.28587410666725
2022-01-31,166.53270950317383,299.29260406494143,135.15139694213866
2022-02-28,166.67955177708677,289.8330559981497,135.89786931088096
2022-03-31,162.27731853982678,287.2906308381454,134.17327515975288
2022-04-30,163.76016387939453,280.55003967285154,127.30774459838867
2022-05-31,145.87717910039993,259.3537132626488,112.51930273146857
2022-06-30,137.43518902006605,252.66404142833892,111.75926680791946
2022-07-31,147.1402214050293,255.3069969177246,111.97914772033691
2022-08-31,164.25300399116847,273.4471415644107,115.56560848070228
2022-09-30,150.6251692998977,241.69745526994978,102.7139878045945
2022-10-31,142.75980631510416,231.28551374162947,98.28909774053665
2022-11-30,143.78128923688615,231.83599562872024,93.34920247395833
2022-12-31,135.9592096237909,240.35548110235305,91.764892578125
2023-01-31,133.89071159362794,232.17406311035157,92.48582878112794
2023-02-28,149.01220140959086,254.40430490594161,95.84204382645457
2023-03-31,153.0429966138757,261.6553026282269,97.4754054857337
2023-04-30,162.9989881013569,283.13609073036594,105.08084829230057
2023-05-31,170.62229295210406,308.8259388316761,115.4318074313077
2023-06-30,182.24969046456474,328.9964163643973,121.79952385312035
2023-07-31,190.28816604614258,335.90797271728513,122.32089729309082
2023-08-31,179.24170120902684,319.3458557128906,129.77085047182828
2023-09-30,175.28558654785155,321.2015090942383,133.50284080505372
2023-10-31,172.97436315363103,324.058725530451,133.3769118569114
2023-11-30,184.24107433500745,363.27377028692337,132.5872094290597
2023-12-31,192.67723083496094,367.79160766601564,134.7662612915039
2024-01-31,186.1482870919364,384.4468587239583,142.98485383533296
2024-02-29,183.38673553466796,404.14900970458984,141.98248138427735
2024-03-31,171.4651840209961,412.19598083496095,141.59828872680663
2024-04-30,168.3952733820135,408.7089829878374,156.24973435835406
2024-05-31,185.1316153786399,413.3491419011896,170.9696377840909
2024-06-30,205.07028198242188,434.2929912366365,176.87365963584497
2024-07-31,223.2997256192294,441.2253320867365,179.72168384898794
2024-08-31,220.53329398415306,409.1269267689098,162.78644492409447
2024-09-30,222.72145080566406,421.0718002319336,157.59175567626954
2024-10-31,228.9903617527174,416.6269491444463,164.82063691512397
2024-11-30,226.9434020996094,416.0644012451172,172.96944885253907
2024-12-31,248.44091215587798,437.0072675432478,186.2892092750186
2025-01-31,233.75718002319337,426.0613479614258,194.8753746032715
2025-02-28,237.86473725971422,406.15587093955594,183.8858787135074
2025-03-31,222.15906851632255,386.3045886811756,165.1141095842634
2025-04-30,200.69256737118675,376.918706984747,154.37121509370348
2025-05-31,203.62821451822916,447.01953125,164.1807657877604
2025-06-30,200.42953033447264,477.76409606933595,172.50790481567384
2025-07-31,211.04139709472656,505.4617933793501,184.93363467129794
2025-08-31,224.5785159156436,515.7621779668899,202.09047662644159
